model,order_planning_scale,relevant_property,sharpness,category,human_mean,model_mean,candidate_model_mean,summary_type,baseline_signed_residual,candidate_signed_residual,baseline_abs_residual,candidate_abs_residual,abs_residual_reduction
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,3.0,both,blurred,one_adjective,0.1254416961130742,0.1383776457508655,0.13837764575086553,length,0.012935949637791294,0.012935949637791322,0.012935949637791294,0.012935949637791322,-2.7755575615628914e-17
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,3.0,both,blurred,three_adjectives,0.399293286219081,0.3395381699695462,0.3395381699695461,length,-0.05975511624953478,-0.05975511624953489,0.05975511624953478,0.05975511624953489,-1.1102230246251565e-16
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,3.0,both,blurred,two_adjectives,0.4752650176678443,0.5250222818270716,0.5250222818270716,length,0.049757264159227266,0.049757264159227266,0.049757264159227266,0.049757264159227266,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,3.0,both,sharp,one_adjective,0.0834990059642147,0.120003976143141,0.120003976143141,length,0.0365049701789263,0.0365049701789263,0.0365049701789263,0.0365049701789263,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,3.0,both,sharp,three_adjectives,0.375745526838966,0.42036270460347747,0.4203627046034775,length,0.04461717776451146,0.04461717776451152,0.04461717776451146,0.04461717776451152,-5.551115123125783e-17
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,3.0,both,sharp,two_adjectives,0.5407554671968189,0.4633771370448529,0.4633771370448529,length,-0.07737833015196599,-0.07737833015196599,0.07737833015196599,0.07737833015196599,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,3.0,first,blurred,one_adjective,0.09927797833935009,0.1134368231046931,0.1134368231046931,length,0.014158844765343001,0.014158844765343001,0.014158844765343001,0.014158844765343001,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,3.0,first,blurred,three_adjectives,0.37906137184115485,0.3127642909562007,0.31276429095620073,length,-0.06629708088495417,-0.06629708088495412,0.06629708088495417,0.06629708088495412,5.551115123125783e-17
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,3.0,first,blurred,two_adjectives,0.5216606498194943,0.5775570336793694,0.5775570336793694,length,0.055896383859875054,0.055896383859875054,0.055896383859875054,0.055896383859875054,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,3.0,first,sharp,one_adjective,0.3705179282868525,0.3063038359907392,0.3063038359907392,length,-0.0642140922961133,-0.0642140922961133,0.0642140922961133,0.0642140922961133,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,3.0,first,sharp,three_adjectives,0.24701195219123492,0.311565189950377,0.311565189950377,length,0.0645532377591421,0.0645532377591421,0.0645532377591421,0.0645532377591421,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,3.0,first,sharp,two_adjectives,0.3824701195219121,0.3888725716357176,0.3888725716357176,length,0.006402452113805468,0.006402452113805468,0.006402452113805468,0.006402452113805468,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,3.0,second,blurred,one_adjective,0.6719576719576719,0.7034729009706274,0.7034729009706274,length,0.03151522901295556,0.03151522901295556,0.03151522901295556,0.03151522901295556,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,3.0,second,blurred,three_adjectives,0.045855379188712304,0.05024995482186689,0.050249954821866887,length,0.004394575633154589,0.004394575633154582,0.004394575633154589,0.004394575633154582,6.938893903907228e-18
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,3.0,second,blurred,two_adjectives,0.2821869488536154,0.2533774596589762,0.2533774596589762,length,-0.028809489194639215,-0.028809489194639215,0.028809489194639215,0.028809489194639215,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,3.0,second,sharp,one_adjective,0.736111111111111,0.6943352974186305,0.6943352974186305,length,-0.04177581369248051,-0.04177581369248051,0.04177581369248051,0.04177581369248051,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,3.0,second,sharp,three_adjectives,0.0119047619047617,0.0619807266001711,0.0619807266001711,length,0.0500759646954094,0.0500759646954094,0.0500759646954094,0.0500759646954094,0.0
principled_salience_stop_regularized_responsepolicy_reliabilitybackup_2x2_inc_static_fixedeps,3.0,second,sharp,two_adjectives,0.25198412698412676,0.2514448172129067,0.2514448172129067,length,-0.0005393097712200756,-0.0005393097712200756,0.0005393097712200756,0.0005393097712200756,0.0
